#CYCLE MODE MOVEINDEX MOVE FRAME RMSD_ALL RMSD_FOLDED RGYR_ALL RGYR_FOLDED Z_ALL Z_FOLDED Z_NTER THET
40 PULL 1 D 2 NONE 2.68875 13.2005 13.2005 -27.0302 -27.0302 -65.4246 79.3681
40 PULL 1 D 3 NONE 2.83158 13.1953 13.1953 -26.982 -26.982 -65.2618 79.2602
40 PULL 1 D 4 NONE 2.75994 13.1093 13.1093 -27.02 -27.02 -65.38 79.8563
41 PULL 1 A 0 NONE 2.64531 12.8499 12.8499 -25.9207 -25.9207 -65.8068 73.8649
41 PULL 1 A 1 NONE 2.63044 13.0191 13.0191 -25.8452 -25.8452 -65.9093 74.2425
41 PULL 1 A 2 NONE 2.61908 12.9382 12.9382 -25.7306 -25.7306 -65.2312 74.4096
41 PULL 1 A 3 NONE 2.62567 12.9752 12.9752 -25.8334 -25.8334 -65.683 73.6298
41 PULL 1 A 4 NONE 2.65883 13.0018 13.0018 -25.9541 -25.9541 -66.2171 74.7485
42 PULL 1 E 0 NONE 2.95758 12.9542 12.9542 -25.4917 -25.4917 -65.4191 68.2979
42 PULL 1 E 1 NONE 2.92212 12.9949 12.9949 -25.4215 -25.4215 -65.1585 68.8649
42 PULL 1 E 2 NONE 2.92593 12.9929 12.9929 -25.6937 -25.6937 -65.3618 67.6879
42 PULL 1 E 3 NONE 2.88998 13.0642 13.0642 -25.8633 -25.8633 -65.6916 67.8113
42 PULL 1 E 4 NONE 2.87198 13.0253 13.0253 -25.7864 -25.7864 -65.3412 69.0333
43 PULL 1 A 0 NONE 2.73559 12.9695 12.9695 -24.8101 -24.8101 -64.6892 70.6804
43 PULL 1 A 1 NONE 2.74084 12.9908 12.9908 -24.8105 -24.8105 -65.2462 70.9607
43 PULL 1 A 2 NONE 2.90596 12.9773 12.9773 -25.0487 -25.0487 -65.2505 69.8586
43 PULL 1 A 3 NONE 2.86767 12.9702 12.9702 -25.0549 -25.0549 -65.0121 71.7159
43 PULL 1 A 4 NONE 2.91107 12.9653 12.9653 -25.2092 -25.2092 -65.2953 72.6396
44 PULL 1 D 0 NONE 2.73056 12.968 12.968 -25.3848 -25.3848 -65.3607 74.7634
44 PULL 1 D 1 NONE 2.77271 13.018 13.018 -25.2114 -25.2114 -65.0482 74.4563
44 PULL 1 D 2 NONE 2.76281 12.943 12.943 -25.2896 -25.2896 -65.5512 74.3228
44 PULL 1 D 3 NONE 2.78603 12.941 12.941 -25.391 -25.391 -65.1778 72.197
44 PULL 1 D 4 NONE 2.80643 12.9956 12.9956 -25.2998 -25.2998 -65.1631 71.8915
45 PULL 1 B 0 NONE 2.71369 13.0375 13.0375 -25.0237 -25.0237 -64.6098 75.3038
45 PULL 1 B 1 NONE 2.66093 13.0126 13.0126 -24.9624 -24.9624 -65.2798 75.819
45 PULL 1 B 2 NONE 2.77039 13.1171 13.1171 -25.0419 -25.0419 -65.7517 75.5738
45 PULL 1 B 3 NONE 2.73662 12.9755 12.9755 -24.9129 -24.9129 -65.184 76.3221
45 PULL 1 B 4 NONE 2.6949 12.9358 12.9358 -24.9966 -24.9966 -64.5861 77
46 PULL 1 A 0 NONE 3.02349 12.9048 12.9048 -26.0492 -26.0492 -65.441 89.929
46 PULL 1 A 1 NONE 2.85419 12.875 12.875 -25.9994 -25.9994 -65.5269 93.4563
46 PULL 1 A 2 NONE 2.90841 12.883 12.883 -26.1109 -26.1109 -65.7274 93.5491
46 PULL 1 A 3 NONE 2.97405 12.9058 12.9058 -26.1207 -26.1207 -65.3903 93.5832
46 PULL 1 A 4 NONE 2.92293 12.8907 12.8907 -26.0387 -26.0387 -65.1555 93.6463
47 PULL 1 C 0 NONE 3.0958 12.8399 12.8399 -25.9129 -25.9129 -64.1317 94.0863
47 PULL 1 C 1 NONE 3.09427 12.9634 12.9634 -25.7737 -25.7737 -64.063 95.3036
47 PULL 1 C 2 NONE 3.20271 12.8741 12.8741 -25.9265 -25.9265 -64.429 96.8181
47 PULL 1 C 3 NONE 3.14921 12.9518 12.9518 -25.9217 -25.9217 -64.602 96.6686
47 PULL 1 C 4 NONE 3.06732 12.9005 12.9005 -25.6669 -25.6669 -64.4271 95.5932
48 PULL 1 D 0 NONE 3.46704 12.7977 12.7977 -25.9236 -25.9236 -64.2086 98.5149
48 PULL 1 D 1 NONE 3.5398 12.7731 12.7731 -26.0003 -26.0003 -64.4239 97.7754
48 PULL 1 D 2 NONE 3.50739 12.9098 12.9098 -25.7709 -25.7709 -64.6954 98.8953
48 PULL 1 D 3 NONE 3.55154 12.8534 12.8534 -25.8895 -25.8895 -64.1143 99.485
48 PULL 1 D 4 NONE 3.53606 12.7777 12.7777 -25.738 -25.738 -63.3671 99.7067
49 PULL 1 C 0 NONE 3.15463 12.9101 12.9101 -26.1759 -26.1759 -60.1289 95.4138
49 PULL 1 C 1 NONE 3.27583 12.8732 12.8732 -26.0414 -26.0414 -59.0377 95.2444
49 PULL 1 C 2 NONE 3.20372 13.0253 13.0253 -25.9413 -25.9413 -58.8769 95.8727
49 PULL 1 C 3 NONE 3.30855 12.924 12.924 -25.7924 -25.7924 -58.5119 95.4966
49 PULL 1 C 4 NONE 3.35806 12.8032 12.8032 -25.6669 -25.6669 -58.0779 94.0509
50 PULL 1 C 0 NONE 2.86225 13.0675 13.0675 -25.9267 -25.9267 -63.7163 87.2721
50 PULL 1 C 1 NONE 2.78937 13.0035 13.0035 -25.8595 -25.8595 -62.9218 87.8996
50 PULL 1 C 2 NONE 2.82258 12.9596 12.9596 -25.8062 -25.8062 -63.0549 87.7803
50 PULL 1 C 3 NONE 2.86105 13.0972 13.0972 -25.6907 -25.6907 -63.3461 88.567
50 PULL 1 C 4 NONE 2.904 13.0105 13.0105 -25.6532 -25.6532 -62.9721 88.6591
51 PULL 1 C 0 NONE 3.05795 12.9573 12.9573 -25.7124 -25.7124 -62.5661 83.9006
51 PULL 1 C 1 NONE 3.04899 12.9821 12.9821 -25.7014 -25.7014 -62.5789 82.503
51 PULL 1 C 2 NONE 3.10722 12.9076 12.9076 -25.9047 -25.9047 -61.7011 81.7697
51 PULL 1 C 3 NONE 3.15328 12.8893 12.8893 -25.9666 -25.9666 -61.6305 82.4116
